0		33
1		33
2		52
3		44
4		70
5		36
6		21
7		63
8		94
9		41
10		7
11		31
12		81
13		3
14		98
15		34
16		18
17		41
18		34
19		23
20		40
21		87
22		31
23		7
24		10
25		79
26		70
27		34
28		98
29		76
30		100
31		99
32		60
33		42
34		21
35		67
36		97
37		30
38		32
39		47
40		87
41		64
42		73
43		61
44		95
45		33
46		4
47		51
48		31
49		41
50		77
51		11
52		33
53		86
54		49
55		78
56		41
57		23
58		22
59		79
60		32
61		38
62		21
63		33
64		43
65		11
66		51
67		6
68		28
69		55
70		14
71		94
72		19
73		46
74		85
75		20
76		56
77		43
78		26
79		71
80		18
81		35
82		97
83		78
84		11
85		78
86		56
87		95
88		73
89		63
90		18
91		46
92		56
93		5
94		30
95		80
96		67
97		13
98		88
99		67
100		12
101		14
102		92
103		15
104		4
105		70
106		48
107		36
108		17
109		61
110		76
111		83
112		10
113		4
114		15
115		85
116		98
117		100
118		95
119		37
120		71
121		37
122		13
123		85
124		6
125		85
126		3
127		7
128		80
129		81
130		78
131		32
132		41
133		34
134		39
135		40
136		22
137		52
138		51
139		35
140		72
141		29
142		56
143		37
144		3
145		9
146		4
147		43
148		69
149		22
150		2
151		45
152		29
153		69
154		51
155		32
156		35
157		68
158		75
159		28
160		10
161		76
162		6
163		87
164		38
165		35
166		59
167		28
168		62
169		50
170		47
171		1
172		82
173		90
174		6
175		46
176		26
177		9
178		64
179		49
180		25
181		25
182		96
183		32
184		23
185		68
186		4
187		72
188		42
189		5
190		97
191		34
192		75
193		72
194		70
195		32
196		98
197		19
198		6
199		36
200		3
201		10
202		12
203		69
204		70
205		22
206		9
207		67
208		100
209		68
210		54
211		70
212		64
213		7
214		51
215		30
216		83
217		23
218		88
219		13
220		29
221		10
222		68
223		83
224		68
225		39
226		27
227		13
228		77
229		84
230		81
231		98
232		44
233		48
234		68
235		3
236		83
237		78
238		68
239		36
240		94
241		76
242		22
243		27
244		21
245		99
246		22
247		79
248		84
249		91
250		33
251		64
252		41
253		71
254		88
255		38
256		26
257		68
258		56
259		76
260		1
261		73
262		65
263		66
264		30
265		35
266		57
267		87
268		48
269		59
270		55
271		92
272		92
273		78
274		41
275		16
276		43
